Station Name,Station information,Phone number,Access,Access times,Level 1 charging stations,Level 2 charging stations,DC Fast charging stations,Network,Network website,Open date,Connections,Address,City,State,Zip code,Location 1
FACEBOOK,"MPK 17-10; Facebook Employees Only
MPK 17-11; Facebook Employees Only. Located on southwest side, Bldg 17
MPK 17-2; Facebook Employees Only",888-758-4389,Public,24 hours daily,1,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772 NEMA520,1 Hacker Way Building 17,Menlo Park,CA,94025,"(37.484926, -122.148201)"
Westlake Shopping Center,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,75 Southgate Ave,Daly City,CA,94015,"(37.699998, -122.483328)"
INFORMATICA,STATION 6; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2000 Seaport Blvd,Redwood City,CA,94063,"(37.5106245, -122.2037291)"
BAYSHORE TECH,2200 BRIDGE PKY,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2200 Bridge Pkwy,Redwood City,CA,94065,"(37.5378709, -122.2578182)"
FACEBOOK,MPK 17-1 DCFC,888-758-4389,Public,,,,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,1 Hacker Way MPK 17,Menlo Park,CA,94025,
Whole Foods Market,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,1250 Jefferson Ave,Redwood City,CA,94062,"(37.482597, -122.231754)"
MENLO PARK,PARKINGPLAZA2 2; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1148 Crane St,Menlo Park,CA,94025,"(37.4517774, -122.1859032)"
ORACLE RWSHORE,"420 GARAGE-001; Inside garage 420 on ground level stalls 4-6 & 4-7
420 GARAGE-002; Inside garage 420 on ground level stalls 4-8 & 4-9",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,400 Oracle Pkwy,Redwood City,CA,94065,"(37.531351, -122.26364)"
PARK PLACE,EV A; Drive down ramp to basement level and follow signs to EV charging stations,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1100 Park Pl Basement Garage,San Mateo,CA,94403,"(37.5450947, -122.2909852)"
BAYSHORE TECH,"1200 ISLAND DR1; -
1200 ISLAND DR2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1200 Bridge Pkwy,Redwood City,CA,94065,"(37.534669, -122.257738)"
ORACLE RWSHORE,"320 GARAGE-001; Inside garage 320 on 2nd fl near elevator
320 GARAGE-002; Inside garage 320 on 2nd fl furthest from elevator",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,300 Oracle Pkwy,Redwood City,CA,94065,"(37.531206, -122.264711)"
THE COVE EV,"171 OYSTER 2; Building 4
171 OYSTER 3; Building 4
171 OYSTER 4; Building 4
171 OYSTER 5; Building 4
171 OYSTER 6; Building 4
171 OYSTER 7; Building 4
171 OYSTER 8; Building 4",888-758-4389,Public,24 hours daily,,13,,ChargePoint Network,http://www.chargepoint.com/,,J1772,171 Oyster Point Blvd,South San Francisco,CA,94080,"(37.662633, -122.394431)"
BOARDWALK VW,"DC FAST; -
VW_426074",888-758-4389,Public,24 hours daily,,2,1,ChargePoint Network,http://www.chargepoint.com/,,J1772 J1772COMBO,1 Bair Island Rd,Redwood City,CA,94063,"(37.495963, -122.227322)"
METRO TOWER,"989 E HILSDLE 3; Parking area 
989 E HLDSLE 2; Parking area 
989 E HLSDLE 1; Parking area",888-758-4389,Public,24 hours daily,,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Portal Ln,Foster City,CA,94404,"(37.5575532, -122.2735657)"
ORACLE RWSHORE,OPL-006; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1012 Twin Dolphin Dr,Belmont,CA,94002,"(37.5278748, -122.265745)"
CardioDx - Britannia Seaport Centre,,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,4,,Blink Network,http://www.blinknetwork.com/,,J1772,600 Saginaw Drive,Redwood City,CA,94063,"(37.50281, -122.220999)"
SMCCD,"LOT S; Lot S, at Building 4
SKY LOT L EV_1; Parking Lot L 
SKY LOT L EV_2; Parking Lot L
SKY LOT L EV_3; Parking Lot L
SKY LOT L EV_4; Parking Lot L
SKY LOT L EV_5; Parking Lot L
SKY LOT L EV_6; Parking Lot L
SKY LOT L EV_7; Parking Lot L
SKY LOT L EV_8; Parking Lot L",888-758-4389,Public,24 hours daily,,17,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3300 College Dr,San Bruno,CA,94066,"(37.632243, -122.464268)"
HMB,HMB-KELLY AVE; Located at Kelly Avenue and Main Street,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,714 Kelly Ave,Half Moon Bay,CA,94019,"(37.4635547, -122.429072)"
LOT V,STATION 1; City parking lot V,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,294-298 California Dr,Burlingame,CA,94010,"(37.5800222, -122.3452787)"
Four Seasons Hotel Silicon Valley,See valet attendant to charge.,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,Blink Network,http://www.blinknetwork.com/,,J1772,2050 University Ave.,East Palo Alto,CA,94303,"(37.46038, -122.14228)"
IKEA - East Palo Alto,Located on ground floor near isle K row,888-998-2546,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinknetwork.com/,,J1772,1700 E. Bayshore Rd,Palo Alto,CA,94303,"(37.460995, -122.138388)"
MILLBRAE,"FARMER'S MKT #1; Enter from Broadway or El Camino Real
FARMER'S MKT #2; Entrance from Broadway & El Camino Real",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,290 Broadway,Millbrae,CA,94030,"(37.600788, -122.391298)"
CITY OF REDWOOD,SHORES LIB CS4; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,San Francisco Bay Trail,Redwood City,CA,94065,"(37.5309414, -122.2592373)"
CITY OF REDWOOD,VETERANS BLDING; Near front entrance,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,799 St Francis St,Redwood City,CA,94061,"(37.4719595, -122.2399898)"
FACEBOOK,"MPK 46-1; -
MPK 46-2; -
MPK 46-3; -
MPK 46-5; -
MPK 46-6; -
MPK 46-7; -
MPK 46G-4; -",888-758-4389,Public,24 hours daily,,14,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1005 Hamilton Ave MPK 46,Menlo Park,CA,94025,"(37.4787081, -122.1479377)"
STATION 1,"SHARON GREEN 2; On second level
SHARON GREEN 3; -
SHARON GREEN 4; -
SHARON GREEN 5; -
SHARON GREEN 6; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,350 Sharon Rd,Menlo Park,CA,94025,"(37.4251922, -122.1984677)"
FACEBOOK,"MPK 12-1; -
MPK 12-2; -
MPK 12-3; -",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Hacker Way Building 12,Menlo Park,CA,94025,"(37.484926, -122.148201)"
BAYSHORE TECH,1300 ISLAND DR; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1300 Island Drive,Redwood City,CA,94065,"(37.5373803, -122.2562778)"
Walgreens #3346 DCFC,,888-998-2546,Public,unknown,,,1,Blink Network,http://www.blinknetwork.com/,,CHADEMO,399 EL CAMINO REAL,South San Francisco,CA,94080,"(37.645789, -122.427601)"
FACEBOOK,"MPK 28 10; -
MPK 28 8; -
MPK 28 9; -
MPK 28GW 1; -
MPK 28GW 2; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,164 Jefferson Dr. MPK 28,Menlo Park,CA,94025,"(37.481634, -122.172448)"
EVSE MANAGEMENT,WALGREENS EC 1; Charging station by front of store on Country Club Dr,888-758-4389,Public,24 hours daily,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,399 El Camino Real,South San Francisco,CA,94080,"(37.6455879, -122.4278564)"
Bayhill III Office Center,The stations are located in the building side of the parking lot. Please look for signage.,800-663-5633,Public - Card key at all times,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,4,,SemaCharge Network,http://www.semacharge.com/,,J1772,"801 Traeger Avenue
Suite 110",San Bruno,CA,94066,"(37.6271757, -122.4224334)"
METRO TOWER,"METRO TOWER E1; East Garage Tower First level
METRO TOWER E2; East Garage Tower
METRO TOWER W1; West Garage 2nd Floor
METRO TOWER W2; West Garage 2nd Floor
METRO TOWER W3; -",888-758-4389,Public,24 hours daily,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,950 Tower Ln,Foster City,CA,94404,"(37.55818, -122.276454)"
FACEBOOK,MPK 29 FC-2; East entrance of 220 Jefferson Dr,888-758-4389,Public,24 hours daily,,,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,260 Constitution Dr,Menlo Park,CA,94025,"(37.4822655, -122.1683256)"
SMCCD,"CSM LOT 5 EV_2; On the south side of Lot 5
CSM LOT 5 EV_3; South side of lot 5
CSM LOT 5 ST 1; On the south side of Lot 5",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1700 West Hillsdale Blvd Marie Curie Lot 5,San Mateo,CA,94402,"(37.531883, -122.333402)"
INTUIT INC,"MENLO PARK 1; -
MENLO PARK 2; -
MENLO PARK 3; -
MENLO PARK 4; -
MENLO PARK 5; -",888-758-4389,Public,24 hours daily,,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772,180 Jefferson Dr,Menlo Park,CA,94025,"(37.481001, -122.170265)"
SHC,"RWCOPCEV10
RWCOPCEV1; Garage level 1 
RWCOPCEV2; Garage level 1 
RWCOPCEV3; Garage level 1 
RWCOPCEV4; Garage level 1 
RWCOPCEV5; Garage level 1 
RWCOPCEV6; Garage level 1 
RWCOPCEV7; Garage level 1 
RWCOPCEV8; Garage level 1 
RWCOPCEV9; Garage level 1",888-758-4389,Public,24 hours daily,,18,,ChargePoint Network,http://www.chargepoint.com/,,J1772,460 Broadway,Redwood City,CA,94063,"(37.485559, -122.203505)"
TOWERS AT SHORE,"203 STATION 1; Garages Level 1
203 STATION 2; 206 Garage Level 1",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,270 Electronic Arts Dr,Redwood City,CA,94065,"(37.5216253, -122.2549824)"
Linda Mar Shopping Center,,877-455-3833,Public - Card key at all times,24 hours daily; EVgo network subscription and key fob required,,,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772COMBO,1227 Linda Mar Shopping Ctr,Pacifica,CA,94044,"(37.593529, -122.503296)"
MENLO PARK,LAUREL 2,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,701 Laurel St,Menlo Park,CA,94025,"(37.4536936, -122.1769444)"
BMW PETER PAN,STATION DC200; -,888-758-4389,Public,24 hours daily,,,1,ChargePoint Network,http://www.chargepoint.com/,,J1772COMBO,1625 Adrian Rd,Burlingame,CA,94010,"(37.5969, -122.373812)"
SAN MATEO CNTY,TR - PUBLIC#1; -,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,30 Tower Rd,San Mateo,CA,94402,"(37.5113395, -122.3329941)"
FACEBOOK,MPK 28 15,888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,162 Jefferson Dr,Menlo Park,CA,94025,"(37.4797561, -122.172425)"
Nissan of Burlingame,,650-347-4800,Public - Call ahead,Dealership business hours,,1,,,,01/31/2012,J1772,101 California Dr,Burlingame,CA,94010,"(37.57792, -122.341931)"
Boardwalk Chevrolet,,650-249-4032,Public,"9am-8pm M-F, 9am-7pm Sat, 11am-6pm Sun",,1,,,,11/15/2017,J1772,544 E Bayshore Rd,Redwood City,CA,94063,"(37.49582, -122.230201)"
FACEBOOK,"MPK 64-3
MPK 64-4
MPK 64-5",888-758-4389,Public,24 hours daily,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,135 Commonweath Dr,Menlo Park,CA,94025,"(37.481738, -122.175181)"
Palo Alto Technology Center,,,Private,For tenant use only,,6,,,,11/15/2017,J1772,1810 Embarcadero Rd,Palo Alto,CA,94303,"(37.450532, -122.114855)"
HUDSON 333 TWIN,"STATION 1
STATION 2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 Twin Dolphin Dr,Redwood City,CA,94065,"(37.522281, -122.258139)"
TOWNSHIP,"STATION 1
STATION 2",888-758-4389,Public,24 hours daily,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 Main St,Redwood City,CA,94063,"(37.491814, -122.227116)"
HUDSON POP,"2655 STATION 1; Is on the last building on the back
2655 STATION 2; By the last building 
2988 STATION 1",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2655 Campus Dr,San Mateo,CA,94403,"(37.535988, -122.323912)"
HUDSON POP,"2800 STATION 1
2800 STATION 2",888-758-4389,Public,24 hours daily,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2988 Campus Dr,San Mateo,CA,94403,"(37.538089, -122.327482)"
PORTOLAVALLEYTH,LIBRARY; By library SCHOOL HOUSE; Welcome to Portola Valley,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,765 Portola Rd,Portola Valley,CA,94028,
Britannia Pointe Grand Business Park,,888-998-2546,Public,,,5,2,Blink Network,http://www.blinknetwork.com/,,CHADEMO J1772,280 E Grand Avenue,South San Francisco,CA,94080,
PALO ALTO CA,MPL #1; -MPL #2; -MPL #3; -MPL #4; -MPL #5; -MPL #6; -,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3700 Middlefield Rd,Palo Alto,CA,94303,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,J1772,700  Bair Island Rd,Redwood City,CA,94063,
FACEBOOK,MPK 28 10; -MPK 28 8; -MPK 28 9; -MPK 28GW 1; -MPK 28GW 2; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,164 Jefferson Dr. MPK 28,Menlo Park,CA,94025,
Adverum Biotechnologies,Located in the front of the building,,Public,,,4,,,,11/15/2017,J1772,1035 O'Brien Dr,Menlo Park,CA,94025,
Grail Biotech,,,Private,,,2,,,,11/15/2017,J1772,1525 O'Brien Dr,Menlo Park,CA,94025,
TOWNSHIP,STATION 1STATION 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 Main St,Redwood City,CA,94063,
500 BROADWAY,SUL; 9th and 10th parking stalls on right,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,500 Broadway,Redwood City,CA,94063,
Hotel Nia - Tesla Destination,,650-900-3434  877-798-3752,Public,,,6,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,TESLA,200 Independence Dr,Menlo Park,CA,94025,
FACEBOOK,MPK 15-5; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,15 Hacker Way Building 15,Menlo Park,CA,94025,
Park Place - Tesla Supercharger,,877-798-3752,Public,,,,8,Tesla,http://www.teslamotors.com/supercharger,03/01/2015,TESLA,1200 Park Pl,San Mateo,CA,94403,
HMB,HMB-KELLY AVE; Located at Kelly Avenue and Main Street,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,714 Kelly Ave,Half Moon Bay,CA,94019,
FACEBOOK,MPK 64-3MPK 64-4MPK 64-5,888-758-4389,Public,,,6,,ChargePoint Network,http://www.chargepoint.com/,,J1772,135 Commonweath Dr,Menlo Park,CA,94025,
Stanford Park Hotel,,800-663-5633,Public - Card key at all times,,,2,,SemaCharge Network,http://www.semacharge.com/,,J1772,100 El Camino Real,Menlo Park,CA,94025,
CAN,CAN LOT 2 ST1; North West Corner of Lot 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Ca̱ada College 4200 Farm Hill Dr.,Redwood City,CA,94061,
SAN MATEO CNTY,COYOTE POINT #2; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,"1701 Coyote Point Drive Coyote Point Park, Magic Mountain Playgroud",San Mateo,CA,94401,
EVSP WALGREENS,STORE 2939,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,333 El Camino Real,San Bruno,CA,94066,
Serramonte Center,Close to The Elephant Bar/Macy's,888-998-2546,Public,,,,1,Blink Network,http://www.blinknetwork.com/,,CHADEMO,3 Serramonte Center,Daly City,CA,94015,
960 SANANTONIO,EV STATION 01; 960 San Antonio Parking Lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,960 San Antonio Rd,Palo Alto,CA,94303,
Millwood Inn and Suites - Tesla Destination,,650-583-3935  877-798-3752,Public,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,TESLA,1375 El Camino Real,Millbrae,CA,94030,
FACEBOOK,MPK 14-10MPK 14-1; Facebook Employees OnlyMPK 14-2; Facebook Employees OnlyMPK 14-3MPK 14-4MPK 14-5MPK 14-6MPK 14-7; -MPK 14-9,888-758-4389,Public,,,18,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Hacker Way Building 14,Menlo Park,CA,94025,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,J1772,1553  El Camino Real,Redwood City,CA,94063,
FACEBOOK,MPK 28 11MPK 28 12MPK 28 13MPK 28 14MPK 28GW 3; -MPK 28GW 4,888-758-4389,Public,,,12,,ChargePoint Network,http://www.chargepoint.com/,,J1772,164 Jefferson Dr.,Menlo Park,CA,94025,
ORACLE RWSHORE,OPL-006; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1012 Twin Dolphin Dr,Belmont,CA,94002,
Acterra,,650-962-9876,Public,,,1,,,,11/15/2017,J1772,3921 E Bayshore Rd,Palo Alto,CA,94303,
HUDSON POP,2755 STATION 1,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2755 Campus Dr,San Mateo,CA,94403,
SMCCD,CSM LOT 5 EV_4; South side of lot 5,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1700West Hillsdale Marie Curie Lot 5,San Mateo,CA,94402,
BOARDWALK VW,DC FAST; -VW_426074,888-758-4389,Public,,,2,1,ChargePoint Network,http://www.chargepoint.com/,,J1772 J1772COMBO,1 Bair Island Rd,Redwood City,CA,94063,
Masonic Temple Garage,,888-998-2546,Public,,,2,,Blink Network,http://www.blinknetwork.com/,,J1772,1101 California Street,San Francisco,CA,94080,
BAYSHORE TECH,3600 BRIDGE PKY; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3600 Bridge Pkwy,Redwood City,CA,94065,
FACEBOOK,MPK 57 FC-1MPK 57 FC-2MPK 57 FC-3MPK 57 FC-4MPK 57 FC-5; -MPK 57 FC-6; -MPK 57 FC-7,888-758-4389,Public,,,,14,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,1350 CA-114,Menlo Park,CA,94025,
STATION 1,SHARON GREEN 1; -,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,350 Sharon Park Dr,Menlo Park,CA,94025,
MPCSD,TERC; Encinal School parking lot employee lot,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,181 Encinal Ave,Menlo Park,CA,94025,
GE WattStation,,855-443-3873,Private,,,1,,GE WattStation,https://www.gewattstation.com,,J1772,710  Bair Island Rd,Redwood City,CA,94063,
CCSF - SFO,SFO INT LOT G12; International Parking Garage G Level 7,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,San Francisco International Airport International Parking Garage G,Millbrae,CA,94030,
Boardwalk Chevrolet,,650-249-4032,Public,,,1,,,,11/15/2017,J1772,544 E Bayshore Rd,Redwood City,CA,94063,
METRO TOWER,919 E HLSDLE 1; Parking area919 E HLSDLE 2; Parking area919 E HLSDLE 3; Parking area 919 E HLSDLE 4; Parking area 919 E HLSDLE 5; Parking area 919 E HLSDLE 6; Parking area 919 E HLSDLE 7; Parking area 919 E HLSDLE 8; Parking area,888-758-4389,Public,,,16,,ChargePoint Network,http://www.chargepoint.com/,,J1772,919 E Hillsdale Blvd,Foster City,CA,94404,
PUBLIC CHARGERS,CENTRAL GRG 1; Street level of garageCENTRAL GRG 2; Street level of garage,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,311 S Ellsworth Ave,San Mateo,CA,94401,
EV CHARGER,SHARON APT. EV; In back of Apartment Building,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2225 Sharon Rd,Menlo Park,CA,94025,
BAYSHORE TECH,800 BRIDGE PKY,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,800 Bridge Pkwy,Redwood City,CA,94065,
Kaiser - Redwood City,,800-663-5633,Public - Card key at all times,,,13,,SemaCharge Network,http://www.semacharge.com/,,J1772,1150 Veterans Boulevard,Redwood City,CA,94063,
FACEBOOK,MPK 58-1; Behind MPK58 MPK 58-2; -MPK 58-3; Behind MPK58 MPK 58-4; Behind MPK58 MPK 58-5; Behind MPK58 MPK 58-7; Behind MPK58 MPK 58-8; Behind MPK58 ADAMPK 58GW-6,888-758-4389,Public,,,16,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1360 Willow Rd MPK 58,Menlo Park,CA,94025,
Super 8 - San Bruno - San Francisco International Airport West - Tesla Destination,,650-624-0999  877-798-3752,Public,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,11/01/2018,TESLA,421 El Camino Real,San Bruno,CA,94066,
PlugShare NorCal Office,,800-663-5633,Public,,,1,,SemaCharge Network,http://www.semacharge.com/,,J1772,985 East San Carlos Ave,San Carlos,CA,94070,
FACEBOOK,MPK 29 FC-2; East entrance of 220 Jefferson Dr,888-758-4389,Public,,,,2,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772COMBO,260 Constitution Dr,Menlo Park,CA,94025,
FACEBOOK,"MPK 17-10; Facebook Employees OnlyMPK 17-11; Facebook Employees Only. Located on southwest side, Bldg 17MPK 17-2; Facebook Employees Only",888-758-4389,Public,,1,5,,ChargePoint Network,http://www.chargepoint.com/,,J1772 NEMA520,1 Hacker Way Building 17,Menlo Park,CA,94025,
BAYSHORE TECH,1600 BRDG PKY 31600 BRIDGE (2); -1600 BRIDGE 4; -1600 BRIDGE 5; -1600 BRIDGE PKY; -,888-758-4389,Public,,,10,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1600 Bridge Pkwy,Redwood City,CA,94065,
Boardwalk Nissan,,650-364-0100,Private,,,1,,,,03/15/2011,J1772,1 Bair Island Rd,Redwood City,CA,94063,
SMCCD,"LOT S; Lot S, at Building 4SKY LOT L EV_1; Parking Lot L SKY LOT L EV_2; Parking Lot LSKY LOT L EV_3; Parking Lot LSKY LOT L EV_4; Parking Lot LSKY LOT L EV_5; Parking Lot LSKY LOT L EV_6; Parking Lot LSKY LOT L EV_7; Parking Lot LSKY LOT L EV_8; Parking Lot L",888-758-4389,Public,,,17,,ChargePoint Network,http://www.chargepoint.com/,,J1772,3300 College Dr,San Bruno,CA,94066,
PALO ALTO CA,RINCONADA LIB 1; Off of Newell RoadRINCONADA LIB 2; Off of Newell RdRINCONADA LIB 3; North Parking Lot Sidewalk Area,888-758-4389,Public,,3,3,,ChargePoint Network,http://www.chargepoint.com/,,J1772 NEMA520,1213 Newell Rd,Palo Alto,CA,94303,
EV CHARGER,HOTEL LUCENT,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,727 El Camino Real,Menlo Park,CA,94025,
Westlake Shopping Center,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,75 Southgate Ave,Daly City,CA,94015,
SMCCD,SKY LOT G S2; North West Corner of Lot GSKY LOT G ST; North West Corner of Lot G,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Skyline College 3300 College Dr,San Bruno,CA,94066,
SMCCD,SKY LOT F EV_1; Sky Lot F - Building 11SKY LOT F EV_2; Sky Lot F - Building 11,888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,11 College Rd,Pacifica,CA,94044,
PROMETHEUS,TRESTLE 331; -,888-758-4389,Public,,,1,,ChargePoint Network,http://www.chargepoint.com/,,J1772,331 El Camino Real,San Carlos,CA,94070,
MILLBRAE,"CITY LIBRARY #1; North side of library parking lot, enter from Poplar.CITY LIBRARY #2; In Millbrae Library Parking lot",888-758-4389,Public,,,4,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1 Library Ave,Millbrae,CA,94030,
HEALTH CENTER,SPV NORTH; The station is located in Carport A,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,501 Portola Rd,Portola Valley,CA,94028,
4700 BOHANNON,4700 BOHANNON; Located outside of the front entrance of 4700 Bohannon,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,4700 Bohannon Dr,Menlo Park,CA,94025,
PARK PLACE,EV A; Drive down ramp to basement level and follow signs to EV charging stations,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,1100 Park Pl Basement Garage,San Mateo,CA,94403,
FACEBOOK,MPK 27 FC-1; At back of Building - Charger faces BuildingMPK 27 FC-2; Facing highway 101MPK 27-1; -MPK 27-2; -MPK 27-3; -MPK 27-4; -,888-758-4389,Public,,,8,4,ChargePoint Network,http://www.chargepoint.com/,,CHADEMO J1772 J1772COMBO,162 Jefferson Dr. MPK 27,Menlo Park,CA,94025,
CAN,CAN LOT 1 ST2; -CAN LOT 1 ST3; Canada Lot 1CAN LOT 1 ST4; -CAN LOT 2 ST2; Canada Lot 2,888-758-4389,Public,,,8,,ChargePoint Network,http://www.chargepoint.com/,,J1772,Campus Cir,Redwood City,CA,94061,
HUDSON POP,2755 STATION 2,888-758-4389,Public,,,2,,ChargePoint Network,http://www.chargepoint.com/,,J1772,2609-2615 Campus Dr,San Mateo,CA,94403,
Lucky,,877-455-3833,Public - Card key at all times,,,1,4,eVgo Network,https://www.evgo.com/,,CHADEMO J1772 J1772COMBO,6843 Mission St,Daly City,CA,94014,
